the		:13584
to		:5912
a		:4390
is		:4186
of		:3943
and		:3448
in		:2722
for		:2685
=		:2555
be		:2506
this		:2188
that		:2064
it		:1681
are		:1581
if		:1558
on		:1544
|		:1353
device		:1310
as		:1280
by		:1261
will		:1216
can		:1208
with		:1197
-		:1130
you		:1117
or		:1074
memory		:1067
not		:1036
kernel		:1034
an		:952
0		:858
from		:842
use		:762
which		:702
1		:702
all		:687
cpu		:687
struct		:653
at		:641
used		:638
driver		:630
when		:629
may		:583
have		:562
first		:548
data		:541
{		:539
disk		:507
should		:506
number		:493
*		:487
int		:468
has		:466
one		:459
function		:457
system		:454
any		:454
but		:452
also		:452
set		:452
some		:441
only		:440
no		:425
must		:425
these		:419
devices		:416
code		:414
address		:406
port		:405
}		:404
file		:402
so		:397
then		:389
there		:387
do		:377
:		:372
other		:370
see		:365
using		:360
2		:360
block		:349
dma		:346
interface		:332
linux		:332
value		:324
void		:318
second		:318
your		:317
same		:317
support		:309
more		:302
they		:297
char		:296
example		:296
return		:294
functions		:291
each		:288
time		:286
its		:280
up		:277
need		:275
whole		:275
before		:274
into		:263
following		:262
new		:261
*/		:260
we		:260
access		:259
such		:257
drivers		:250
cache		:248
controller		:247
/*		:247
mode		:247
default		:243
control		:236
after		:235
make		:234
call		:232
case		:228
bus		:227
3		:222
hardware		:222
card		:217
work		:216
#		:216
read		:215
where		:214
long		:214
user		:213
buffer		:211
array		:209
been		:208
size		:208
way		:207
unsigned		:206
list		:205
operations		:205
load		:205
order		:204
pin		:204
like		:203
information		:200
enabled		:199
two		:197
note		:195
patch		:195
api		:193
different		:192
boot		:192
lock		:188
space		:187
serial		:187
was		:186
possible		:186
mapping		:186
enable		:184
o		:184
than		:182
module		:180
barrier		:178
does		:176
called		:176
write		:175
what		:174
interrupt		:174
cpus		:174
without		:173
name		:172
above		:172
just		:172
pci		:172
page		:171
between		:169
type		:169
store		:168
line		:167
disable		:167
state		:167
get		:163
error		:163
pointer		:163
i		:162
virtual		:161
operation		:161
how		:159
would		:159
given		:159
available		:156
being		:155
key		:155
about		:154
option		:154
partitions		:154
structure		:152
because		:152
static		:151
since		:150
them		:148
root		:148
format:		:145
files		:144
current		:144
specified		:142
might		:141
};		:141
register		:139
here		:139
scsi		:139
done		:138
even		:136
could		:136
specific		:136
source		:136
physical		:136
i/o		:136
out		:136
want		:135
echo		:135
provide		:134
returns		:134
==		:134
don't		:134
4		:132
implementation		:130
their		:130
while		:130
parameter		:129
via		:129
command		:129
object		:128
6b		:127
release		:126
now		:125
channel		:125
configuration		:125
process		:124
both		:124
--		:124
change		:122
+		:122
currently		:120
however		:119
processor		:118
(see		:118
multiple		:117
>		:117
#include		:116
means		:116
message		:116
node		:116
through		:115
kobject		:115
either		:114
bytes		:114
it's		:114
const		:114
compiler		:114
calls		:113
off		:113
provided		:113
once		:112
16		:112
[knl]		:112
part		:111
allocated		:111
bit		:111
board		:111
most		:110
always		:110
handled		:110
under		:110
context		:109
instead		:109
required		:108
single		:108
interrupts		:108
console		:108
+-------+		:108
within		:107
those		:107
table		:107
check		:107
addresses		:107
per		:107
tree		:107
irq		:107
gpio		:107
barriers		:107
directory		:106
instruction		:106
supported		:105
framework		:105
pins		:105
major		:104
provides		:103
run		:103
userspace		:103
bits		:103
parallel		:103
fc		:103
cannot		:102
variable		:102
sysfs		:102
version		:101
description		:101
pages		:101
subsystem		:101
start		:100
modules		:100
core		:100
8		:100
callout		:100
remote		:100
already		:99
drive		:99
needed		:98
level		:98
thus		:98
disabled		:98
probe		:98
very		:97
id		:97
(*)		:97
needs		:96
still		:96
test		:95
running		:95
range		:95
accesses		:95
format		:95
group		:95
during		:94
architecture		:94
(or		:94
doesn't		:94
b		:94
allows		:93
systems		:93
appropriate		:93
interfaces		:93
many		:93
add		:93
15		:93
3)		:92
flags		:92
slave		:92
written		:92
x		:92
useful		:91
messages		:91
task		:90
5		:90
registers		:90
bif		:90
added		:89
actually		:89
atomic		:89
acpi		:89
host		:89
certain		:89
never		:88
event		:88
section		:88
except		:87
writing		:87
00		:87
another		:87
over		:87
back		:86
reference		:86
structures		:85
well		:85
errors		:85
acquire		:85
32		:85
power		:84
passed		:84
debugging		:84
handle		:83
sure		:83
please		:83
cases		:83
limit		:83
field		:83
options		:83
shared		:82
zero		:82
values		:82
defined		:82
found		:82
entries		:82
special		:80
uses		:80
something		:80
find		:80
numbers		:80
resources		:79
contains		:79
standard		:79
phy		:79
logical		:79
bios		:79
document		:78
setting		:78
specify		:78
buffers		:78
usually		:78
again		:78
performance		:78
management		:78
below		:77
try		:77
(eg		:77
last		:77
patches		:77
hotplug		:77
allow		:76
force		:76
hwspinlock		:76
machine		:75
callback		:75
index		:75
local		:75
writes		:75
parport		:75
kprobes		:75
copy		:74
flag		:74
debug		:74
details		:74
d		:74
otherwise		:73
locks		:73
software		:73
attribute		:73
result		:73
objects		:73
(struct		:73
execution		:72
additional		:72
created		:72
associated		:72
platform		:72
doing		:72
supports		:72
$		:72
u		:72
parameters		:71
region		:71
sleep		:71
every		:71
itself		:71
string		:71
locking		:71
registered		:71
ports		:71
usb		:71
simple		:70
mechanism		:70
particular		:70
mask		:70
next		:70
modes		:70
normal		:70
necessary		:70
